variable,variable_group,value,label,label_recode,do_not_join
WHEREFREE7,WHEREFREE,1,Category marked,"7 - Family, friends, or neighbors",0
SNAP_YN,SNAP_YN,1,Yes,1 - Received SNAP benefits,0
SNAP_YN,SNAP_YN,2,No,2 - Did not receive SNAP benefis,0
SNAPMNTH1,SNAPMNTH,1,January,1 - Received SNAP in January,0
SNAPMNTH2,SNAPMNTH,1,February,2 - Received SNAP in February,0
SNAPMNTH3,SNAPMNTH,1,March,3 - Received SNAP in March,0
SNAPMNTH4,SNAPMNTH,1,April,4 - Received SNAP in April,0
SNAPMNTH5,SNAPMNTH,1,May,5 - Received SNAP in May,0
SNAPMNTH6,SNAPMNTH,1,June,6 - Received SNAP in June,0
SNAPMNTH7,SNAPMNTH,1,July,7 - Received SNAP in July,0
SNAPMNTH8,SNAPMNTH,1,August,8 - Received SNAP in August,0
SNAPMNTH9,SNAPMNTH,1,September,9 - Received SNAP in September,0
SNAPMNTH10,SNAPMNTH,1,October,10 - Received SNAP in October,0
SNAPMNTH11,SNAPMNTH,1,November,11 - Received SNAP in November,0
SNAPMNTH12,SNAPMNTH,1,December,12 - Received SNAP in December,0
TSPNDFOOD,TSPNDFOOD,VALUE,$0-$900,,1
TSPNDPRPD,TSPNDPRPD,VALUE,$0-$500,,1
FOODCONF,FOODCONF,1,Not at all confident,1 - Not very confident that household will be able to afford food,0
FOODCONF,FOODCONF,2,Somewhat confident,1 - Not very confident that household will be able to afford food,0
FOODCONF,FOODCONF,3,Moderately confident,2 - Confident that household will be able to afford food,0
FOODCONF,FOODCONF,4,Very confident,2 - Confident that household will be able to afford food,0
HLTHSTATUS,HLTHSTATUS,4,Fair,1 - Health is fair or poor,0
HLTHSTATUS,HLTHSTATUS,5,Poor,1 - Health is fair or poor,0
HLTHSTATUS,HLTHSTATUS,1,Excellent,2 - Health is good,0
HLTHSTATUS,HLTHSTATUS,2,Very good,2 - Health is good,0
HLTHSTATUS,HLTHSTATUS,3,Good,2 - Health is good,0
ANXIOUS,ANXIOUS,2,Several days,"1 - Feeling nervous, anxious, or on edge",0
ANXIOUS,ANXIOUS,3,More than half the days,"1 - Feeling nervous, anxious, or on edge",0
ANXIOUS,ANXIOUS,4,Nearly every day,"1 - Feeling nervous, anxious, or on edge",0
ANXIOUS,ANXIOUS,1,Not at all,"2 - Not feeling nervous, anxious, or on edge",0
WORRY,WORRY,2,Several days,1 - Not able to control worrying,0
WORRY,WORRY,3,More than half the days,1 - Not able to control worrying,0
WORRY,WORRY,4,Nearly every day,1 - Not able to control worrying,0
WORRY,WORRY,1,Not at all,2 - Able to control worrying,0
INTEREST,INTEREST,2,Several days,1 - Little interest or pleasure in doing things,0
INTEREST,INTEREST,3,More than half the days,1 - Little interest or pleasure in doing things,0
INTEREST,INTEREST,4,Nearly every day,1 - Little interest or pleasure in doing things,0
INTEREST,INTEREST,1,Not at all,2 - Interest or pleasure in doing things,0
DOWN,DOWN,2,Several days,"1 - Feeling down, depressed, or hopeless",0
DOWN,DOWN,3,More than half the days,"1 - Feeling down, depressed, or hopeless",0
DOWN,DOWN,4,Nearly every day,"1 - Feeling down, depressed, or hopeless",0
DOWN,DOWN,1,Not at all,2 - Not feeling depressed,0
HLTHINS1,HLTHINS,1,Category marked- Insurance through a current or former employer or union (through yourself or another family member),1 - Employer-sponsored health insurance,0
HLTHINS2,HLTHINS,1,"Category marked-Insurance purchased directly from an insurance company, including marketplace coverage (through yourself or another family member)",2 - Health insurance from marketplace,0
HLTHINS3,HLTHINS,1,"Category marked-Medicare, for people 65 and older, or people with certain disabilities",3 - Medicare,0
HLTHINS4,HLTHINS,1,"Category marked-Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes or a disability",4 - Medicaid,0
HLTHINS5,HLTHINS,1,Category marked-TRICARE or other military health care,5 - TRICARE,0
HLTHINS6,HLTHINS,1,Category marked-VA (including those who have ever used or enrolled for VA health care),6 - VA health care,0
HLTHINS7,HLTHINS,1,Category marked-Indian Health Service,7 - Indian Health Service,0
HLTHINS8,HLTHINS,1,Category marked- Other,8 - Other health coverage,0
DELAY,DELAY,1,Yes,1 - Delayed medical care due to the pandemic,0
DELAY,DELAY,2,No,2 - No delay in medicare care,0
NOTGET,NOTGET,1,Yes,1 - Delayed medical care for something not related to pandemic,0
NOTGET,NOTGET,2,No,2 - No delay in medicare care,0
PRESCRIPT,PRESCRIPT,1,Yes,1 - Took prescription medication for mental health,0
PRESCRIPT,PRESCRIPT,2,No,2 - Did not take prescription medication for mental health,0
MH_SVCS,MH_SVCS,1,Yes,1 - Received therapy from a mental health professional,0
MH_SVCS,MH_SVCS,2,No,2 - Did not receive therapy from a mental health professional,0
MH_NOTGET,MH_NOTGET,1,Yes,"1 - Needed therapy for mental health, but did not get it",0
MH_NOTGET,MH_NOTGET,2,No,2 - Did not require or miss mental health care,0
PRIVHLTH,PRIVHLTH,1,"Yes, Has Private Health Insurance",1 - Private health insurance,0
PRIVHLTH,PRIVHLTH,2,No Private Health Insurance,2 - No private health insurance,0
PRIVHLTH,PRIVHLTH,3,Missing,3 - Missing,0
PUBHLTH,PUBHLTH,1,"Yes, Has Public Health Insurance",1 - Public health insurance,0
PUBHLTH,PUBHLTH,2,No Public Health Insurance,2 - No public health insurance,0
PUBHLTH,PUBHLTH,3,Missing,3 - Missing,0
TENURE,TENURE,1,Owned free and clear?,1 - Owned home free and clear,0
TENURE,TENURE,2,Owned with a mortgage or loan (including home equitly loans)?,2 - Owned home with a mortgage or loan,0
TENURE,TENURE,3,Rented?,3 - Rented home,0
TENURE,TENURE,4,Occupied without payment of rent?,4 - Occupied home without payment of rent,0
LIVQTR,LIVQTR,1,A mobile home,"1 - A mobile home, boat, RV, van, etc.",0
LIVQTR,LIVQTR,10,"Boat, RV, van, etc.","1 - A mobile home, boat, RV, van, etc.",0
LIVQTR,LIVQTR,2,A one-family house detached from any other house,2 - Single detached home,0
LIVQTR,LIVQTR,3,A one-family house attached to one or more houses,"3 - Duplex, town home, or 2 apartment building",0
LIVQTR,LIVQTR,4,A building with 2 apartments,"3 - Duplex, town home, or 2 apartment building",0
LIVQTR,LIVQTR,5,A building with 3 or 4 apartment,4 - Building with 3 to 9 apartments,0
LIVQTR,LIVQTR,6,A building with 5 to 9 apartments,5 - Building with 10 to 49 apartments,0
LIVQTR,LIVQTR,7,A building with 10 to 19 apartments,5 - Building with 10 to 49 apartments,0
LIVQTR,LIVQTR,8,A building with 20 to 49 apartments,5 - Building with 10 to 49 apartments,0
LIVQTR,LIVQTR,9,A building with 50 or more apartments,6 - Building with 50+ apartments,0
TBEDROOMS,TBEDROOMS,VALUE,0-25,,1
RENTCUR,RENTCUR,2,No,1 - Not currently caught up on rent,0
RENTCUR,RENTCUR,1,Yes,2 - Household currently caught up on rent,0
MORTCUR,MORTCUR,2,No,1 - Not currently caught up on mortgage,0
MORTCUR,MORTCUR,1,Yes,2 - Household currently caught up on mortgage,0
MORTCONF,MORTCONF,1,No confidence,1 - Low or no confidence that household will be able to pay next rent or mortgage payment on time,0
MORTCONF,MORTCONF,2,Slight confidence,1 - Low or no confidence that household will be able to pay next rent or mortgage payment on time,0
MORTCONF,MORTCONF,3,Moderate confidence,2 - Moderate to high confidence that household will be able to pay next rent or mortgage payment on time,0
MORTCONF,MORTCONF,4,High confidence,2 - Moderate to high confidence that household will be able to pay next rent or mortgage payment on time,0
MORTCONF,MORTCONF,5,Payment is/will be deferred,3 - Rent or mortgage payment is/will be deferred,0
EVICT,EVICT,1,Very likely,1 - Very likely to leave home within the next two months due to eviction,0
EVICT,EVICT,2,Somewhat likely,2 - Somewhat likely to leave home within the next two months due to eviction,0
EVICT,EVICT,3,Not very likely,3 - Not very to not at all likely to leave home within the next two months due to eviction,0
EVICT,EVICT,4,Not at all likely,3 - Not very to not at all likely to leave home within the next two months due to eviction,0
FORCLOSE,FORCLOSE,1,Very likely,1 - Very likely to leave this home within the next two months due to foreclosure,0
FORCLOSE,FORCLOSE,2,Somewhat likely,2 - Somewhat likely to leave this home within the next two months due to foreclosure,0
FORCLOSE,FORCLOSE,3,Not very likely,3 - Not very to not at all likely to leave this home within the next two months due to foreclosure,0
FORCLOSE,FORCLOSE,4,Not at all likely,3 - Not very to not at all likely to leave this home within the next two months due to foreclosure,0
ENROLL1,ENROLL,1,"Category marked- Yes, enrolled in a public or private school",1 - Children enrolled in a public or private school,0
ENROLL2,ENROLL,1,"Category marked- Yes, homeschooled",2 - Children homeschooled,0
ENROLL3,ENROLL,1,Category marked- No,3 - No children enrolled in school,0
TEACH1,TEACH,1,Category marked-Classes normally taught in person at the school were canceled,1 - Classes normally taught in person at the school were canceled,0
TEACH2,TEACH,1,"Category marked-Classes normally taught in person moved to a distance-learning format using online resources, either self-paced or in real time",2 - Classes normally taught in person moved to a distance-learning using online materials,0
TEACH3,TEACH,1,Category marked-Classes normally taught in person moved to a distance-learning format using paper materials sent home to children,3 - Classes normally taught in person moved to a distance-learning using paper materials,0
TEACH4,TEACH,1,Category marked-Classes normally taught in person changed in some other way -- Please specify:,4 - Other change,0
TEACH5,TEACH,1,Category marked - The coronavirus pandemic did not affect how children in this household receive education,5 - There was no change because schools did not close,0
COMPAVAIL,COMPAVAIL,1,Always available,1 - Always available to children for school,0
COMPAVAIL,COMPAVAIL,2,Usually available,2 - Usually available to children for school,0
COMPAVAIL,COMPAVAIL,3,Sometimes available,3 - Sometimes available to children for school,0
COMPAVAIL,COMPAVAIL,4,Rarely available,4 - Rarely available to children for school,0
COMPAVAIL,COMPAVAIL,5,Never available,5 - Never available to children for school,0
COMP1,COMP,1,Category marked-Provided by the children’s school or school district to use outside of school,1 - Provided by the children’s school,0
COMP2,COMP,1,"Category marked-Provided by someone in the household or family, or it is the child’s",2 - Provided by family,0
COMP3,COMP,1,Category marked-Provided by another source,2 - Provided by another source,0
INTRNTAVAIL,INTRNTAVAIL,1,Always available,1 - Always or usually available,0
INTRNTAVAIL,INTRNTAVAIL,2,Usually available,1 - Always or usually available,0
INTRNTAVAIL,INTRNTAVAIL,3,Sometimes available,2 - Sometimes available,0
INTRNTAVAIL,INTRNTAVAIL,4,Rarely available,3 - Rarely or never available,0
INTRNTAVAIL,INTRNTAVAIL,5,Never available,3 - Rarely or never available,0
INTRNT1,INTRNT,1,Category marked-Paid for by the children’s school or school district,1 - Paid for by school system,0
INTRNT2,INTRNT,1,Category marked- Paid for by someone in the household or family,2 - Paid for by someone in the household or another source,0
INTRNT3,INTRNT,1,Category marked-Paid for by another source,2 - Paid for by someone in the household or another source,0
SCHLHRS,SCHLHRS,1,None,1 - No live virtual contact with teacher,0
SCHLHRS,SCHLHRS,2,1 day,2 - 1 to 3 days of live virtual contact with teacher,0
SCHLHRS,SCHLHRS,3,2-3 days,2 - 1 to 3 days of live virtual contact with teacher,0
SCHLHRS,SCHLHRS,4,4 or more days,3 - 4+ days of live virtual contact with teacher,0
TSTDY_HRS,TSTDY_HRS,VALUE,0-40,,1
TCH_HRS,TCH_HRS,1,Much less than a school day before the coronavirus pandemic,1 - Less time on school activities than before the pandemic,0
TCH_HRS,TCH_HRS,2,A little bit less than a school day before the coronavirus pandemic,1 - Less time on school activities than before the pandemic,0
TCH_HRS,TCH_HRS,3,As much as a school day before the coronavirus pandemic,2 - Same time on school activities than before the pandemic,0
TCH_HRS,TCH_HRS,4,A little bit more than a school day before the coronavirus pandemic,3 - More time on school activities than before the pandemic,0
TCH_HRS,TCH_HRS,5,Much more than a school day before the coronavirus pandemic,3 - More time on school activities than before the pandemic,0
TNUM_PS,TNUM_PS,VALUE,0-40,,1
PSPLANS1,PSPLANS,1,"Certificate or diploma program from a school that provides occupational training (usually a 2-year program, often leading to a license, such as cosmetology)",1 - Occupational training,0
PSPLANS2,PSPLANS,1,Associate's degree program (usually a 2-year degree),2 - Associate's degree program,0
PSPLANS3,PSPLANS,1,Bachelor's degree program (usually a 4-year degree),3 - Bachelor's degree program,0
PSPLANS4,PSPLANS,1,"Graduate degree program (for example, Master's, PhD, MD)",4 - Graduate degree progam,0
PSPLANS5,PSPLANS,1,Another credential program not listed above,5 - Other credential program,0
PSPLANS6,PSPLANS,1,Classes that are not part of a credential program,6 - Classes not part of a program,0
PSCHNG1,PSCHNG,1,Plans to take classes this fall have not changed.,1 - Same or more classes will be taken this fall,0
PSCHNG2,PSCHNG,1,All plans to take classes this fall have been canceled.,2 - All plans to take classes this fall have been canceled,0
PSCHNG3,PSCHNG,1,"Classes will be in different formats in the fall (for example, change from in-person to online).",3 - Classes will be in different formats in the fall,0
PSCHNG4,PSCHNG,1,Fewer classes will be taken this fall.,4 - Fewer classes will be taken this fall,0
PSCHNG5,PSCHNG,1,More classes will be taken this fall.,5 - Same or more classes will be taken this fall,0
PSCHNG6,PSCHNG,1,Classes will be taken from a different institution.,6 - Classes will be taken from a different institution,0
PSCHNG7,PSCHNG,1,Classes will be taken for a different kind of certificate or degree.,7 - Classes will be taken for a different degree,0
PSWHYCHG1,PSWHYCHG,1,Had coronavirus or concerns about getting coronavirus,1 - Concered about getting coronavirus,0
PSWHYCHG2,PSWHYCHG,1,Caring for someone with coronavirus,2 - Caring for someone with coronavirus,0
PSWHYCHG3,PSWHYCHG,1,"Caring for others whose care arrangements are disrupted (e.g., loss of day care or adult care programs)",3 - Caring for others whose care was disrupted or not available,0
PSWHYCHG4,PSWHYCHG,1,"Institution changed content or format of classes (e.g., from in-person to online)",4 - Institution changed content or format of classes or campus life,0
PSWHYCHG5,PSWHYCHG,1,Changes to financial aid,5 - Changes to financial aid,0
PSWHYCHG6,PSWHYCHG,1,Changes to campus life,6 - Changes to campus life,0
PSWHYCHG7,PSWHYCHG,1,Uncertainty about how classes/program might change,7 - Uncertainty about about classes,0
PSWHYCHG8,PSWHYCHG,1,Not able to pay for classes/educational expenses because of changes to income from the pandemic,8 - Not able to pay for classes due to income changes related to pandemic,0
PSWHYCHG9,PSWHYCHG,1,"Some other reason related to the pandemic, please specify",9 - Other reason,0